nom_viticulteur;num_parcelle;type_cepage
Dupont;169 607 143 451;9, 4, 1, 7
Dupont;169 402 143 748;7
Bernard;167 502 102 531;7
Bernard;161 211 185 754;3
Constantini;160 401 294 657;9, 1, 4, 3, 8
Dupont;162 305 010 544;4
Bernard;169 808 023 411;6
Bernard;160 405 077 066;8, 10, 5, 7
Bernard;166 508 072 367;5, 10, 9
Cantu;168 510 102 588;3
Castaneda;163 603 248 653;4, 7, 2, 1
Cantu;165 610 077 041;6, 8, 5, 4
Castaneda;168 612 156 995;10, 7
Colon;168 208 270 770;7, 3, 6, 2
Colon;162 106 257 237;8, 9, 7, 6, 10
Cooper;168 101 206 954;5
Castenada;162 704 242 680;2
Colon;161 212 019 044;1
Martinez;162 910 291 315;5, 3, 10
Martinez;164 402 228 292;5, 8, 3, 6, 2
Martinolles;169 812 245 448;5
Dennis;163 406 227 227;6
Dotson;160 512 293 622;8, 10, 2, 6
Ellison;160 710 146 333;6, 9
Gonzalez;169 711 288 549;8, 10, 7
Constantini;169 407 244 780;4
Finley;168 801 058 374;4
Dupont;169 702 028 789;2
Cantu;169 911 235 498;3, 9, 7, 2
Berjouan;160 509 295 093;10, 4
Constantini;169 908 234 298;9
Gilbert;163 011 267 196;9, 2, 8, 1
Gonzales;164 001 251 588;9, 10, 3, 5
Gonzalez;163 109 129 134;3
Berjouan;161 201 229 869;8, 6, 9, 10
Boudouric;167 901 023 072;7, 10, 3, 1, 5
Boutieres;167 411 034 502;8, 6
Narach;163 609 169 101;10, 8, 3
Rudelou;161 509 299 184;7, 5, 9
Migoule;166 008 053 800;10, 1, 7, 6, 3
Espeluque;165 702 159 350;3, 9, 8, 10
Derdevet;164 803 272 774;2, 4, 7
Jarras;164 306 286 362;10, 2, 4, 1
Hafrosy;161 412 070 045;3, 1, 7
Naudeillo;167 207 034 427;7, 5, 10
Mathieu-Daude;160 303 221 618;10, 6
Fougairolles;167 604 125 307;1, 3
Rouveyrolles;169 306 024 481;6, 5
Martinolles;166 812 257 662;1
Arpinon;160 409 050 374;4
Arjalas;164 102 038 389;7, 4, 10, 1, 6
Dengleant;166 504 256 063;7
Andoch;165 303 146 202;6
Maynard;165 910 172 229;2, 3, 9
Berjouan;162 411 229 061;6, 4, 8, 1, 7
Boudouric;162 402 256 909;3, 1
Boutieres;165 307 112 705;6, 1
Narach;160 010 295 327;2
Rudelou;161 010 077 368;5, 8, 1
Migoule;163 109 206 791;2
Espeluque;161 310 036 452;10
Derdevet;162 509 105 173;2, 9, 3, 1, 7
Jarras;161 904 287 099;
Hafrosy;160 105 137 574;9, 4, 2, 10
Naudeillo;165 510 216 418;1
Mathieu-Daude;162 102 041 551;8, 2, 5, 9
Fougairolles;163 810 119 465;4, 10, 9, 6, 5
Rouveyrolles;163 708 137 421;7
Martinolles;160 407 123 553;3, 2
Arpinon;162 808 215 285;7
Arjalas;166 901 120 169;7, 10, 9, 1
Dengleant;166 405 250 603;2, 1, 8, 10, 3
Andoch;163 510 276 813;7, 3, 1, 2, 9
Maynard;165 207 125 849;8
Maynard;164 411 111 687;5, 6, 1, 10, 3
Maynard;168 705 195 595;6
Maynard;165 306 214 940;7
Maynard;168 009 305 817;7, 6, 4, 2
Maynard;165 908 066 375;8, 10, 4, 5
Berjouan;166 811 259 289;10, 9, 6, 5, 4
Boudouric;160 507 122 182;4, 7
Boutieres;166 610 255 074;5, 6
Narach;161 110 284 781;5, 1
Rudelou;166 708 288 573;6, 3, 10, 1
Migoule;165 911 303 120;4
Espeluque;161 404 254 896;2, 9, 3, 5, 7
Derdevet;161 806 143 044;10, 6
Jarras;164 912 150 416;5, 7, 1, 10, 2
Hafrosy;160 112 260 930;3
Naudeillo;164 210 096 543;2
Mathieu-Daude;162 401 234 733;8, 1, 9, 5
Fougairolles;165 411 220 709;5, 10, 4, 1, 7
Rouveyrolles;160 311 072 748;7, 5, 6, 9, 10
Martinolles;161 307 234 649;6, 5, 8
Arpinon;163 707 243 345;5, 9
Arjalas;166 010 043 393;8, 5
Dengleant;164 012 246 460;10
Andoch;161 001 136 280;10, 4
Martinez;166 103 308 737;10, 2, 5, 3, 9
Gonzalez;163 203 065 143;6, 3, 5, 2
